"POSITION HOLDER
DETENTEUR DE LA POSITION","NOM DE LՃMETTEUR
NAME OF THE ISSUER",ISIN,"POSITION COURTE NETTE DETENUE EN %
NET SHORT POSITION SIZE IN PERCENTAGE","DATE DE POSITION (AAAA-MM-JJ)
POSITION DATE (YYYY-MM-DD)"
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.85,2022-02-28
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.78,2022-11-21
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.46,2023-06-07
CAPITAL FUND MANAGEMENT SA,CGG,FR0013181864,0.63,2021-06-18
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.30,2022-08-02
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.09,2019-09-16
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.54,2019-07-30
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,1.02,2023-06-14
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,1.81,2016-02-12
"OCEANWOOD CAPITAL MANAGEMENT
LIMITED",RENAULT,FR0000131906,0.33,2020-03-13
GSA CAPITAL PARTNERS LLP,CELLECTIS,FR0010425595,0.58,2022-08-15
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.63,2023-09-04
SYQUANT CAPITAL,GENFIT,FR0004163111,0.00,2021-02-11
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.19,2021-12-16
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,2.23,2023-11-15
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,0.78,2023-08-23
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,1.12,2023-10-06
B&G MASTER FUND PLC,ORPEA,FR0000184798,0.90,2022-10-13
LMR PARTNERS LLP,GAZTRANSPORT ET TECHNIGAZ,FR0011726835,0.70,2022-05-11
GLADSTONE CAPITAL MANAGEMENT LLP,VALEO,FR0013176526,0.98,2023-11-03
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.87,2023-07-21
AKO CAPITAL LLP,SEB S.A.,FR0000121709,0.48,2020-03-20
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.04,2022-12-01
MARSHALL WACE LLP,CAPGEMINI,FR0000125338,0.59,2023-11-17
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",ARKEMA,FR0010313833,0.49,2021-02-03
B&G MASTER FUND PLC,VALEO,FR0013176526,0.49,2020-11-12
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.80,2022-08-25
ADELPHI CAPITAL LLP,SOCIETE BIC,FR0000120966,0.26,2020-03-20
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.96,2023-07-13
AKO CAPITAL LLP,EIFFAGE,FR0000130452,1.20,2023-10-26
"HUTCHIN HILL CAPITAL, LP",SOLOCAL GROUP,FR0010096354,0.64,2014-05-16
CITADEL EUROPE LLP,KORIAN,FR0010386334,0.52,2021-08-25
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.24,2023-09-18
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",EUTELSAT COMMUNICATIONS,FR0010221234,0.58,2020-05-25
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.93,2023-04-24
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",ELIOR GROUP,FR0011950732,1.42,2020-07-21
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.69,2023-01-13
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.73,2022-08-03
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.08,2019-11-19
MACKAY SHIELDS LLC,TECHNICOLOR,FR0010918292,0.49,2018-11-07
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.78,2023-09-26
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.99,2023-02-13
HBK INVESTMENTS L.P.,PEUGEOT S.A.,FR0000121501,0.00,2021-01-15
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,1.50,2019-08-23
"BLACKROCK INSTITUTIONAL TRUST
COMPANY NATIONAL ASSOCIATION",GENFIT,FR0004163111,0.30,2020-05-13
AIRAIN LTD,NOVACYT,FR0010397232,0.31,2020-06-09
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.10,2020-07-30
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.51,2023-02-20
GLADSTONE CAPITAL MANAGEMENT LLP,VALEO,FR0013176526,0.50,2023-09-27
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.84,2023-04-14
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,1.72,2023-03-09
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.13,2023-03-21
CREDIT INDUSTRIEL ET COMMERCIAL,VALLOUREC,FR0013506730,0.60,2023-11-02
MARSHALL WACE LLP,RENAULT,FR0000131906,1.29,2022-05-03
KRYGER CAPITAL LIMITED,AIR FRANCE-KLM,FR0000031122,0.58,2022-06-15
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.35,2023-11-22
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.85,2023-04-25
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.46,2023-10-02
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.04,2019-07-12
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,1.30,2023-06-06
LONE PINE CAPITAL LLC,ATOS SE,FR0000051732,0.23,2021-03-09
"ANCHOR BOLT CAPITAL, LP",FAURECIA,FR0000121147,0.56,2019-01-21
"POINT72 ASSET MANAGEMENT, L.P.",CGG,FR0013181864,0.59,2023-10-31
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.12,2023-05-04
MARSHALL WACE LLP,RENAULT,FR0000131906,1.49,2022-06-10
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.84,2023-09-12
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.18,2019-12-09
MARSHALL WACE LLP,AIR FRANCE-KLM,FR001400J770,0.90,2023-11-20
